1022841743740465152,我他🐴社保
1021438355773493249,蟹蟹茄子面 https://t.co/ExdKiqCICK
1101590509540253696,Take this and NATO Airforce is sh*t🤗 https://t.co/Sh3gfOc7oh
1025769812591616002,绝了 https://t.co/RbSIGTCaDC
1019518904438284288,基本上确定是积灰App了 https://t.co/xzELNt1IZ4
1034849520591491072,蟹蟹炸酱面 https://t.co/wfm3Zens9V
1029312319942283264,哈哈哈哈 https://t.co/FjwvjiqUkN
1103018058359152640,@AAAAAgonG 你也要买SAW了
1024932217984823296,@imverynop 😂😂😂
1035840284230397953,有点牛逼 https://t.co/6vMr41M6IN
1033679440113479680,😉 https://t.co/dqlPtvXnFG
1050306278336188416,👍🏻 https://t.co/L3gWWoEkPE
1035802213694631937,wow https://t.co/1vCN4afnon
1031537253548519424,[哆啦A梦惊讶] https://t.co/GflM0M3rz3
1052704173874130946,(:3_ヽ)_ https://t.co/SqVj7EI4IB
1027570937812709376,牛肉不好做啊(:3_ヽ)_

It's not easy to cook beef(:3_ヽ)_ https://t.co/i4d5hSs8AM
1060884056068386816,フリーランスに優しいヴェノム先輩
#Venom 
#ヴェノム https://t.co/c05cPZGc3I
1027915076110614528,就很开心∠(ᐛ」∠)＿

Happy∠(ᐛ」∠)＿

@firesupportshop https://t.co/ykbZhwrbkI
1021173462323417090,哪有什么客观中立，都是为了利益，一边看戏本质上也是为了满足荷尔蒙
1024013889657364481,@jisi_si 没想到祭祀也有推∠(ᐛ」∠)＿
1045628946598023168,😂 https://t.co/r2ikMoJYv6
1116445289823469573,@EM_TTCrab 看我另一个回复
1040891390295605249,No.048    WA2000 “舞会休止符”

#コスプレ
#少女前線 #少女前线 #GirlsFrontline 
私の名前はワルサーダブルーエム2000。指揮官、私の足を引っ張ったら、承知しないわよ。
WA2000。指挥官，你就乖乖看着吧，别当我的绊脚石就行了。

Illustrator ：@morearea https://t.co/qxQrZw62fm
1024346096800333825,水放多了（x）
I had put too much water（x） https://t.co/DkyLtooygB
1024970464555425792,Seriously？😂

Translated by: (Weibo ID)Beta-TNT https://t.co/7gbIqLOTFr
1027046198954221569,No.213    C-MS

#コスプレ
#ドールズフロントライン  #少女前線 #少女前线 #GirlsFrontline 
居然把我捡了回来……你不会只是一时兴起吧？想让我相信你的话，可得好好做我的“部下”哦。

Illustrator ：@XChichichichi https://t.co/rUcPUK7Amk
1112422106384470021,全 员 变 态 https://t.co/i3KceUIZiq
1024667935145639937,回国可以开餐馆了（x） https://t.co/eZmyLGdP6f
1036582119869272065,有感觉就去追啊∠(ᐛ」∠)＿ 

#peing #Questionbox https://t.co/gCiA2MuRkL
1022527460305461249,卖家秀/买家秀 https://t.co/eLF3NycVE6
1034718372091461634,小时候买的Yika的手拉AK 

#peing #Questionbox https://t.co/bEpIXuP4wD
1036683639520743424,这操作juele😂 https://t.co/PfF2dyrWQU
1023247796583972864,蟹蟹茄子3.0 https://t.co/m2lyhEYarD
1034718521609969664,小时候买的Yika的手拉AK 

#peing #Questionbox https://t.co/VbHjNfjQih
1050084185803816966,Design previews for an upcoming original Girls Frontline T-dolls artbook project, you know who they are already, so 👀 #少女前线 #少女前線 #소녀전선 #GirlsFrontline #Tactifriends https://t.co/GVXAzAJwk9
1023317333031440385,老功臣sv98三改完成 &amp; 单抽奇迹
The Mod3 update of sv98 completed &amp; A fantastic single shot https://t.co/iMTG2K55TG
1044630071334588417,Jesus😂 https://t.co/tbyojb85gn
1046651644308574208,∠(ᐛ」∠)＿ https://t.co/xbq9rQLKfU
1041781914720514052,给战雷所有坦克的首上涂上了老婆的名字
涂完T-54之后才发现不对劲 https://t.co/vvLdHcUphE
1055701333406187521,No.127    79式 “青丘狐”

#コスプレ
#少女前線 #少女前线 #GirlsFrontline 

今晚的糖果都准备好了，把大家叫过来吧。不过别一次来太多人哦。

Illustrator ：防弹乳牛 https://t.co/qMGi1WUcQy
1049069654222753793,声之形已经刷了三遍了
毕竟受害者和加害者咱都当过

I have watched The Shape of Voice three times.
For the years when I was a victim，and also when I was a injurer.
1043629937326997514,RASPUTIN - Vladimir Putin - Love The Way You Move (Funk Overload) @slocband https://t.co/GN2eEU72ZC
1041399523862560768,@EM_TTCrab 出来挨打 https://t.co/SxJvDNWgJV
1049070253551099904,遥遥好看😉 https://t.co/XyApv4Yhmo
1042413622821961728,Z i p a n g
#WarThunder https://t.co/lsCWfnG8m5
1046179915362709504,算是枪画的比较好的
The gun is drawn better than lots of other painters https://t.co/CmWsmbpCvb
1022856031171485697,以后每天锻炼增加一个撸SPAS的项目得了，这玩意不费点力气还上不了膛 https://t.co/ONQyPqvP2O
1055058705614426113,六花ちゃんｒｋｇｋ https://t.co/LbZ5lNhdxx
1025431210477137921,不吃午饭晚上才可以吃肉哦～

No lunch，meat dinner～ https://t.co/4JFowDVzHZ
1034585926628925441,我是直男，阿廾又不肯乖乖变成处女，我也很无奈啊 

#peing #Questionbox https://t.co/1oqfUIstBo
1116473099501875200,@SALTYATO 那就更没啥说的了，弯弯自己摸不对路你干着急也没用，想独立靠民主是没用的，扬基佬当年不也是血战大嘤才打出来的13州
1048661142950883328,杂煮 https://t.co/0NeXZ2bPEf
1034694120558669824,算北方人吧 

#peing #Questionbox https://t.co/mHk9NQOIud
1050034383455961088,这几天补番最大的感受是
日语里到底有多少单词发音和英文相近的😂
1054689413169442817,六花ちゃん　#SSSS_GRIDMAN https://t.co/GI7AfmkcFU
1055780271885336576,😉👍🏻 https://t.co/x5CyMXTk96
1023618920530554881,∠(ᐛ」∠)＿ https://t.co/ioA3vrPRrI
1041403264519024640,敲里吗😂 https://t.co/xvIX03lYe4
1049440548602474496,😂 https://t.co/oxP8nPIPrp
1046504472082558976,PRC！PRC！🇨🇳🇨🇳🇨🇳🇨🇳
1019522332531060738,挂着Airsoft的爱好不发东西不合适
出国前剩下的东西就这些了
回头看看能不能弄Airsoft证 https://t.co/j4B0VhkMzf
1058075132596576256,RT @jisi_si: No.212    K5

#少女前线 
#少女前線
#コスプレ
#소녀전선
#GirlsFrontline 

果然，无数的迹象都在表明……指挥官，我和您的相遇，是命中注定的。
Illustrator ：@lpmya https://t.co/U1c…
1054520229391486977,Most of the R18 secondary creations of Classroom of Elite ignored two point：
1. Karuizawa has scar on her stomach；
2. Ayanokouji has the biggest gun in the school.
However, one of the picture of Tamarix is the worst. She can't move without crutch, but the auther let her
squat😂 https://t.co/xSPZst4cTx
1040290243482673154,#PizzaParty

绝了，这些披萨哪来的😂
@PizzaExpress 你们什么时候能去中国开店，我们受够必胜客了😂

It's amazing! Where does these pizzas come from😂
When will @PizzaExpress open some restaurants in China？We are fed up with PizzaHut😂 https://t.co/kSIW4HBhFZ
1024889517738618880,I think I started the pic like 2 years ago on #バニーの日

speaks alot about my procrastination🤤
I have the bunnysuit part on separate layer so i can overlay whatever camo pattern on it for lazy variants:V https://t.co/kbWH1DLnmd
1112435766884515841,对那些觉得B站封直播间没有台独责任的弯弯说两点：
1. B站收入足以让Vtuber顿顿吃香喝辣，你们台巴子在油管上能做到吗？
2. 您台天天作死已经搞得大陆梧桐势力日益壮大，这次怕是要把大陆死宅也逼到那个阵营
您台也别酸我们暴发户，当年您台富裕的时候金钱收买的事可没少干，一报还一报，有种买回去
1090704661085110277,@AAAAAgonG 吸回去
1024569328568479745,ドールズフロントラインの応援イラストを描かせていただきました
日本リリースおめでとうございます

@GirlsFrontline  #ドールズフロントライン  ＃少女前線 https://t.co/jU9iTSPUp2
1019844099908743173,@1458824433 明年8月末毕业
1021393889142460416,该放弃了吧
1023974140989071362,整个素的 https://t.co/Lsd3KfriRp
1067105996181520386,😉👍🏻 https://t.co/cnHEAysaOA
1046425746946891777,😂👍🏻 https://t.co/EHkD7PPtLH
1046370395249684481,Get To The Choppa with us! https://t.co/oCSo3dl9aS
1019868971368112128,@ZEON_Xiao 大嘤也玩不到啊(:3_ヽ)_
1052170929923649536,@mmmn540d88 啥情况😨
1090356328093036544,#映画の中のドルフロ
#少女前線
ハクソーリッジのBAR(とM1） https://t.co/vWd9rBcQuS
1041131316459315201,😉👍🏻 https://t.co/y1JX5pDXIw
1054713840351485952,RT @_azz: 六花ちゃん　#SSSS_GRIDMAN https://t.co/GI7AfmkcFU
1019701633427693569,连想念都名不正言不顺
1034581094459301888,看不懂日语，靴靴（x） 

#peing #Questionbox https://t.co/l2Cx3g3AE7
1089805522948239360,∠(ᐛ」∠)＿ https://t.co/CvUGF5WZQm
1047923758437212161,好康的 https://t.co/G9DUWMQcmp
1116441899869581328,@SALTYATO 都是就都是呗，第一波引爆大陆网络反台情绪的偏偏就是PPT，您提的这一堆有关系？
1045450642515472384,@raven13th @GirlsFrontline PSB Warning😂
1028007533003333632,肥仔快乐晚餐

Happy fatso dinner https://t.co/NvlbYjSCoz
1045433194026127360,416 https://t.co/xYERuLlEwI
1034694020356702208,(:3_ヽ)_ 

#peing #Questionbox https://t.co/2X9aHxUbCE
1116446713374486535,@SALTYATO OK，底子摸清了，既然你秉持着不支持就是敌对这种原则，那我也没啥可说的了，祝贵岛好运
1112379689656598529,台独狗你妈死了
1029049711867715585,下午茶Time

Afternoon Tea Time https://t.co/4Br1TYbH1Q
1116444580885475347,@SALTYATO 我无所谓，其实我本身对台独的态度是没有台独，只要你们能熬过干趴十七国联军的力量那自然而然就能独立。而且你说的这几个网站，铁血就那样没救了，知乎嘛……反正要血洗台湾的答案是肯定会被删的，倒是支持台独的答案坚挺时间会久一点，至于挨骂就不能赖知乎了，大陆的民意也是民意
1061518609439166464,いいね https://t.co/PxPa3EwAZk
1061650237582991360,wtmsb https://t.co/tNUXrrHKxA
1043446939231051778,ダイエット https://t.co/qnmfm8qTFA
1080716954825117697,@mmmn540d88 兔女郎学姐圣地巡礼？∠(ᐛ」∠)＿
1031552732056846338,No.28 MP7

#コスプレ
#ドールズフロントライン  #少女前線 #少女前线 #GirlsFrontline 

“饲养员”，你终于来接我了吗？辛苦了哦。

Illustrator ：戏言咸咸 https://t.co/DCIg3VMZhb
1039952566774317056,好康的😉👍🏻 https://t.co/yI1mLuutLx
1045992307923783680,😂 https://t.co/a6zgqfgvED
1036304192195850240,肯定是BB，手感杠杠的 

#peing #Questionbox https://t.co/Ncm6F8xHFz
1022786029676359686,RT @_Imonatsuki_: 怒るぞ😡 https://t.co/50dgxf5OAd
1021148049643630592,https://t.co/dpN86Rt8W8
1027207096452960258,😉👍🏻 https://t.co/hIfvHMK6u1
1019598091601743872,@Kakibayuki I blow explosive White Bird
1057975148588916737,No.212    K5

#少女前线 
#少女前線
#コスプレ
#소녀전선
#GirlsFrontline 

果然，无数的迹象都在表明……指挥官，我和您的相遇，是命中注定的。
Illustrator ：@lpmya https://t.co/U1cok259oY
1046640039076102144,🍂🍂🍂 https://t.co/iZhXsnGfpk
1048960205558439936,WA2000 https://t.co/YRNJxrExyZ
1046425951586983936,😂 https://t.co/DEIaj8wKP0
1022580482180046852,原来殉爆有伤害的？！
1019910832032026624,今日惨案 https://t.co/b7VPLzuWOS
1022759055209705472,我也有空调∠(ᐛ」∠)＿ https://t.co/5X9X2DgGHf
1020255203218640896,“可恶的帅哥，我勃起了” https://t.co/Fe0RDOUat7
1090936341188304896,过于残暴😂 https://t.co/kkG9ddNDZ8
1036723399106523138,22岁，是学生，没去过风俗店，玩法无从谈起；打飞机啊……战雷苏系防空车玩家😉 

#peing #Questionbox https://t.co/ct2vd49UvA
1116443084999540741,@SALTYATO 哦，战俘营回来的老兵身上刻着的反共纹身合着是天降正义咯？反正你也说了，屁股决定脑袋，这话同样适用于你。
1042787928332820485,Kaboom～ https://t.co/9raop2hmkc
1054125910801166336,单曲循环无法自拔∠(ᐛ」∠)＿

Keep single cycling and unstoppable∠(ᐛ」∠)＿

【HD1080P】FULL 17才Seventeen 來自繽紛世界的明日OP Irozuku Sekai no Ashita kara OP（日... https://t.co/4AdyQFWbCr 来自 @YouTube
1061429685714931712,😂 https://t.co/F8AJQ0PkED
1032738225201266689,@ZEON_Xiao 嗝屁也别趁现在，其他选项更费拉
1116469297545662465,微博ID也不是没给我带来过麻烦，很多傻逼数到七就开始跑到我微博下面打滚撒泼，即便我啥都没说
既然我不想换名字又被扰得没办法吃瓜，那就只好正面刚这些傻逼了嘛╮(╯▽╰)╭
1116447214669312004,@SALTYATO 顺便建议您去听听曹长青对台湾独立给的建议，您觉得我是共匪帮凶那曹长青总不是吧？
1046373047458910208,No.177    KLIN

#コスプレ
#少女前線 #少女前线 #GirlsFrontline 
あたしはクリン(KLIN)！いずれグリフィンNO.1(ナンバーワン)になる人形よ、覚えといて！
长官你要记好了！我就是要成为格里芬NO.1的人形——KLIN！

Illustrator：水熊 https://t.co/7QZ67mKsYC
1019520591852916737,👍🏻👍🏻👍🏻 https://t.co/0gF5dIE0Xy
1045835274599591936,ちなみにプロトタイプというのがコチラ！
マルイオリジナルデザインの様々な試作品です♪（発売するかは別の話ですが）
#全日本模型ホビーショー https://t.co/hW0Cr7z3A9
1023920678037274624,明明是来大嘤上学，可推特首页上一大半内容却都是日语的😂

I'm in England now, but more than half of information I can view on Twitter is in Japanese😂 https://t.co/QWAK1Ichan
1027571322547789824,火力支援就绪∠(ᐛ」∠)＿

Fire Support is Ready∠(ᐛ」∠)＿

#ドルフロ https://t.co/hYE9T2Pq39
1116282532016873474,首先呢，假号ID末尾多个e，我寻思8分葵不知道crab啥意思；
然后呢，假号简介还贴了我微博链接，感谢阿葵一番美意但我真的用不着用推特来涨粉；
最后呢，俺寻思俺刚来英国就弄了推特怎么建号日期就成2019年4月了呢，江来报道出现了偏差你要负泽任的民不民白？ https://t.co/hbxDlwsnOo
1036173147664347136,语言课几乎全是中国人，正课还不知道 

#peing #Questionbox https://t.co/vu1D73vum9
1024014445079613441,缺德起自己也毫不手软∠(ᐛ」∠)＿

原图：（Pixiv ID）齿轮齿轮 https://t.co/eZdyH34X61
1045435664903344128,神他妈😂 https://t.co/tbsPECvVcg
1054762496089882626,维基让湾湾祸祸得差不多了
王美雨这个表现怎么可能是台湾省人

Wikipedia has been polluted by editors from Taiwan Province seriously.
As Mei-Yu Wang's conversations in the novel, it's impossible that she comes from Taiwan Province. https://t.co/fTLyJzfRkm
1054719835798691841,反应装甲骚毙∠(ᐛ」∠)＿ https://t.co/xF6aKxnSNq
1024573226268221440,金手指！∠(ᐛ」∠)＿ https://t.co/zf0oeR6NdP
1022161541033017345,蒜泥白肉偷懒版∠(ᐛ」∠)＿
大片太难切了（x） https://t.co/b9PifYvR1x
1020221462995759105,@real_elder @1458824433 对的
1019613968548204544,@alan_walker6789 不是，国内买的，水弹。英国这边Airsoft的事我还在琢磨
1034728782261669888,等阿廾变成处女我就出 

#peing #Questionbox https://t.co/0v6ghq7W86
1029215347482583040,落書き

#少女前線 #ドールズフロントライン #中国語注意 https://t.co/sCeuI1kThC
1047605182920445952,试试新的搭配 https://t.co/p0703cx5NT
1035939426143268864,RT @jisi_si: No.125    MG4

#コスプレ
#少女前線 #少女前线 #GirlsFrontline 
ヘッケラー&amp;コッホMG4、今日から精一杯尽力します。は…私の席があると良いですけど。
MG4從今日起為您效勞，希望這裡還有我的位置吧。

Illustr…
1052632823494918144,#少女前線  #少女前线  #GirlsFrontline  #ドルフロ #ドールズフロントライン  #DSR50
photo thx: LUIS HUI https://t.co/ujbtetWQD8
1112390676359114752,虽然也有台湾的朋友跟我互关了，但我还是要说点直话
大陆民众绝大部分坚持一个中国原则，但生活中我们不会主动到处刷，我们有自信但我们也不想让这个影响日常生活
但台独🐶很明显不这么想，今天碰瓷阿夸这事就非常没品
PLA是人民军队，等她接到的命令不是“解放台湾”而是“往死里打”时，有台独🐶们后悔的
1044695529756794880,👍🏻 https://t.co/CI9ifpjF4X
1112378389015351296,https://t.co/zbQhtZ347V
1043771477257015296,@las91214 Hardcore∠(ᐛ」∠)＿
1089679649704095745,NO.029 司登MkII MOD
#少女前线 
#少女前線
#コスプレ
#소녀전선
#GirlsFrontline 

よーし、頑張るよ！指揮官！
好，要加油啰！指挥官

Illustrator ：@真名 https://t.co/tQVHun2AcZ
1028753980711755778,还是不带脚架比较帅

It looks better without bipod https://t.co/BRt8Mq6mqR
1054717941286002689,前生今世 https://t.co/myYTiv32nO
1022961437147320320,（舍友拍的）俺们学校的主楼.
The main building of our school (photoed by my roommate) https://t.co/twyytTDms8
1116445080993390592,@SALTYATO 这就对了嘛，都有黑历史，何必呢？咱俩吵一宿，我赢了大陆也不会核平你，你赢了小英也搞不成独立，还不如去撸个串
1054818847222575104,“你离被怪兽搞死不远了”的眼神😂 https://t.co/uOf81n7mCD
1020728598112686085,试制茄子烧肉 https://t.co/xz01iK0Vdo
1116438426671296513,@SALTYATO 好好好，恁PPT上全是大陆人，满意否？
1063672147120287744,今回 #Mk46 の見所としては、何よりも金属製のダミーカートリッジで作られたベルトリンク！
発射作動に連動して、まるで給弾しているかのように動きます！
これは実際に観ていただくのが早いかと♪ https://t.co/jjQDapS8eT
1112369835873173504,이사카 코스프레한 움사오~ https://t.co/vEU3yUW12i
1022898193862938624,蚝油生菜，翻车 https://t.co/tbZGhwYGIg
1048887894721609728,hmmmmmm https://t.co/jbPmMazqg2
1039952617387044864,😉👍🏻 https://t.co/0NOS2CE7qo
1053546472971493376,新条アカネの機嫌を損ねた日 https://t.co/VnfijsZJG2
1036163686522486784,当年高考结果出来之后发现自己被电磁场专业录取了，所以就想了个磁暴步兵的昵称，至于蟹什卡……就瞎编的一个看上去毛味的名字而已(:3_ヽ)_ 

#peing #Questionbox https://t.co/Sup09jNA6n
1051779728762388480,∠(ᐛ」∠)＿ https://t.co/EfLvLrc5Bt
1067065049112489985,No.228    一〇〇式

#少女前线 
#少女前線
#コスプレ
#소녀전선
#GirlsFrontline 

正式名一〇〇式機関短銃、参る！指揮官、よろしくお願いします！
正式名称，一〇〇式冲锋枪，向您报告！指挥官，请多指教！

Illustrator ：@flat_fish_ https://t.co/1d3gZlKk52
1022382365803343872,怒るぞ😡 https://t.co/50dgxf5OAd
1031848857863434240,😉👍🏻 https://t.co/zkcnjPg1gw
1116444662515019781,@SALTYATO 没有态度，输入法不好使打错了
1020050839086485504,把抠下来的那部分面包裹上蛋液炸了炸，还挺好吃 https://t.co/LDiCJpJ00l
1025668962573594625,This guy really knows how to protect the environment. Why using 3 shells to kill 3 enemies, when single one is sufficient!? https://t.co/rLfA070MAZ
1019546228126863360,@SkyRaise2 waterbullet吧
1116460901329141760,顺便我寻思你是从那个高仿号摸到我这来的，那个高仿号反装忠发表极端言论就是为了让你们来我这吵架，当然我不介意讨论但你也寻思个度别被人当枪使 https://t.co/RYMYYzz1Qc
1060585414166073349,No.118    9A-91

#少女前线 
#少女前線
#コスプレ
#소녀전선
#GirlsFrontline 

あなたが指揮官ですか？9A91（きゅうえいきゅういち）と言います。わたしの名前ちゃんと覚えてくれますか？
您就是……我的指挥官吗？9A91……这是我的名字，指挥官，您会记住我吗？

Illustrator ：@MauveSR https://t.co/DDsAWcAT0l
1034579877662535680,120mm弹药豹炸时更好看😉 https://t.co/uIc5VPmYHj
1081514736829808643,@mmmn540d88 @jeremyzxc123 @aosorakamiya @Tanto_CN027 @Shin_I_TING 克林姆胖？∠(ᐛ」∠)＿
1023337588021710849,笑出猪叫哈哈哈哈ヾﾉ≧∀≦)o
Phly真的惨ヾﾉ≧∀≦)o

LOLヾﾉ≧∀≦)o
Poor Phlyヾﾉ≧∀≦)o https://t.co/qlUkqosgfU
1045356838269534208,Really?JDtron
京破天 https://t.co/ea4dfB6Nit
1116446252890238982,@SALTYATO 嘛，逆向淘汰你跟我说没用，你得跟历史书说去。而且80年代的时候大陆可是给过提案的，一国两制，台湾不仅保留制度还能保留武装顺便还可以拿大陆几个省，关键是你们制度自信如斯到头来还是非得往油尽灯枯上耗，共产党帮你们洗地遮羞已经很累了，就不要把共产党和我这种“暴民”困起来一起裱了嘛
1025162069405048833,@SeedLittle @mmmn540d88 @real_elder
1038095358730035200,No.097    M950A"王牌值日生"

#コスプレ
#少女前線 #少女前线 #GirlsFrontline 
今日は何がしたい？あたしはどうでもいいけど。
那麼，想好今天要做什麼？……反正我是無所謂。

Illustrator ：@infukun 

ドールズフロントライン公式@GirlsFrontline https://t.co/zvJB3vuTWY
1043771731255676928,［哆啦A梦惊讶］ https://t.co/YvRkuHDu3E
1044663179970662400,Old stuff.
Boxgear 001,it’s a toy designed for my friend.I can’t wait to see the products. https://t.co/IXnzhPjt73
1024430697975623680,公然diss可还行😂 https://t.co/TC6I8U8bkI
1036163290131443713,😂 

#peing #Questionbox https://t.co/GHeFFvm2YP
1034415743125934081,New German high-tier premium vehicle is coming to War Thunder! An experimental version of the Leopard 1 outfitted with the powerful Rheinmetall 120mm L44 cannon and additional premium bonuses. Get it now - https://t.co/IecfwOrAXC https://t.co/ehGBXrUHhy
1019899507910283264,The Fake News Media wants so badly to see a major confrontation with Russia, even a confrontation that could lead to war. They are pushing so recklessly hard and hate the fact that I’ll probably have a good relationship with Putin. We are doing MUCH better than any other country!
1024945538666557440,图2迷彩好眼熟😂 https://t.co/mMPghP6a7U
1022754045251842048,我一边忍受着资本主义毒辣的阳光一边研究历史的进程，但ViVi这个人@lgl19960601 竟然炫耀他有空调，太可气了，哼！需要食蟹@EM_TTCrab 舒缓一下心情！
1034581225263038465,Telsa Trooper-Crabishka's Questionbox https://t.co/WA2LELv0Gf #Questionbox #peing
1019517160333414400,试着玩玩？
1019227749255266305,#GirlsFrontline #cosplay #少女前线 #少女前線 

HK416ー星の茧/公式

初めてTwitterを使えます、(日本語 ちょど下手ですが …)よろしくお願いします。 https://t.co/6x7xW5oadK
1046134180734676992,第一次做牛排，翻车了😂

First time to cook beef，but not successful😂 https://t.co/NaqeVyc7s5
1036166419338018817,并没有刻意保持哦，一般来说大家都有各自的生活，要是有事直接说就可以啦∠(ᐛ」∠)＿ 

#peing #Questionbox https://t.co/2M09334GiY
1044163334164090880,开学第一节课老师咕了还行😂

Our teacher didn't appear on our first class😂 https://t.co/cV9lQKKF63
1044483432443760640,@las91214 Hentai power？∠(ᐛ」∠)＿
1023600659839504384,搞事翻译 https://t.co/p3g4rBwTpV
1020440698741501958,当意识到有些人能轻而易举地得到自己想要的东西之后，便不会再自视不凡，甚至让自己卑微如尘
7年前就懂了 ，5年前更是懂得透彻
1022751686849437696,@RlpRyan10492 贴身把一虎王打殉爆然后履带被炸断了
1037003884881952773,RT @jisi_si: No.053    NTW-20 “贵族体验馆”

#コスプレ
#少女前線 #少女前线 #GirlsFrontline 
您好，指……不是，这位客人，您是否需要一杯下午茶？
还是需要先看看菜单？我们这里可是有很多……

Illustrator ：@bu…
1049796460617879554,👍🏻 https://t.co/OMpbyUqSPB
1054408382277398528,RT @CarlZha: Chinese People's Liberation Army recruitment video. What strikes me most is the totally different ethos than the ones present…
1025795290027188224,吃素的日子

A day without meat https://t.co/CH1iWkWue4
1035904061910835200,No.125    MG4

#コスプレ
#少女前線 #少女前线 #GirlsFrontline 
ヘッケラー&amp;コッホMG4、今日から精一杯尽力します。は…私の席があると良いですけど。
MG4從今日起為您效勞，希望這裡還有我的位置吧。

Illustrator ：@neco_person 

ドールズフロントライン公式@GirlsFrontline https://t.co/KeWV7qjlkN
1055073683503570944,满屏六花😂 https://t.co/5larL1qdJ4
1034766169004171264,G3是电动的，SPAS是手拉 

#peing #Questionbox https://t.co/t3FoGzEgkZ
1051742281558978560,Masterkey in China https://t.co/npjF5dFckP
1101524555217207296,The 2S6 #Tunguska is an advanced 1970s Soviet hybrid SPAA vehicle, combining cannons and guided missiles into a highly effective anti-air platform, intended to replace the highly successful, yet outdated Shilka - https://t.co/iQEMNh4drL https://t.co/V5OodrylzF
1045450274909884416,@aRYfPuLgCkWisbD @GirlsFrontline M99 looks more like AS50，but only looks like. They have different structure inside，AS50 likes a bigger M16，but M99 likes a bigger SKS
1043055293435797504,KIERA きえら。
https://t.co/uudSesROR5

#少女前線 #ドールズフロントライン #ドルフロ #소녀전선 #GirlsFrontline https://t.co/HG7fFqJHdL
1112421608143179783,换头还行的😂 https://t.co/v06p6xIT3Y
1020380174305693696,试制蒜泥白肉
Try to make Garlic White Pork https://t.co/MEgmDTQC8O
1019912853229330433,MAGA！ https://t.co/U5dEP2U2Nj
1060631375592730625,∠(ᐛ」∠)＿ https://t.co/9HlsfmbFYv
1044510529471967233,Dirty work. https://t.co/FCpXThTlll
1036175306757795840,拒绝，下一个😂 

#peing #Questionbox https://t.co/TatbkF2dFh
1024338109721391104,@worldoftanks @Wendys This is how you @Wendys, watch and learn! https://t.co/mCfEyrNhGA
1026880629844131841,好吧，做素菜比做肉难(:3_ヽ)_

Okay, it's more difficult to cook vegetables than meat(:3_ヽ)_ https://t.co/YeppxVnX99
1045947001727320070,Holy Jesus😂 https://t.co/Mp0yOPVs64
1029713269777461248,重火力齐了

Support Collection Complete https://t.co/qhEI81hCZE
1063861301422768128,有丶想要 https://t.co/DL7cBia6hU
